
2024/05/01 (20:08:26) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/01 (20:08:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/01 (20:08:26) | DEBUG: Shared::init() : Initialized.
2024/05/01 (20:08:29) | DEBUG: Writing new config file
2024/05/01 (20:08:29) | INFO: Quitting! Runtime: 00:00:03

2024/05/01 (20:08:40) | ===> btop++ v.1.3.2
2024/05/01 (20:08:40) | INFO: Logger set to DEBUG
2024/05/01 (20:08:40) | DEBUG: Using locale C.UTF-8
2024/05/01 (20:08:40) | INFO: Running on /dev/pts/1
2024/05/01 (20:08:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/01 (20:08:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/01 (20:08:40) | DEBUG: Shared::init() : Initialized.
2024/05/01 (20:08:44) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/01 (20:08:45) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_latte.theme
2024/05/01 (20:08:46) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_frappe.theme
2024/05/01 (20:08:48) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_macchiato.theme
2024/05/01 (20:08:49) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2024/05/01 (20:08:49) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_macchiato.theme
2024/05/01 (20:08:50) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_frappe.theme
2024/05/01 (20:08:50) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_latte.theme
2024/05/01 (20:08:51) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/01 (20:08:55) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/01 (20:08:56) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/01 (20:09:01) | DEBUG: Writing new config file
2024/05/01 (20:09:01) | INFO: Quitting! Runtime: 00:00:21

2024/05/01 (20:09:03) | ===> btop++ v.1.3.2
2024/05/01 (20:09:03) | INFO: Logger set to DEBUG
2024/05/01 (20:09:03) | DEBUG: Using locale C.UTF-8
2024/05/01 (20:09:03) | INFO: Running on /dev/pts/1
2024/05/01 (20:09:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/01 (20:09:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/01 (20:09:03) | DEBUG: Shared::init() : Initialized.
2024/05/01 (20:09:03) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/01 (20:09:16) | DEBUG: Writing new config file
2024/05/01 (20:09:16) | INFO: Quitting! Runtime: 00:00:13

2024/05/04 (10:53:56) | ===> btop++ v.1.3.2
2024/05/04 (10:53:56) | INFO: Logger set to DEBUG
2024/05/04 (10:53:56) | DEBUG: Using locale C.UTF-8
2024/05/04 (10:53:56) | INFO: Running on /dev/pts/0
2024/05/04 (10:53:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/04 (10:53:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/04 (10:53:56) | DEBUG: Shared::init() : Initialized.
2024/05/04 (10:53:56) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/04 (10:54:13) | INFO: Quitting! Runtime: 00:00:17

2024/05/05 (13:47:47) | ===> btop++ v.1.3.2
2024/05/05 (13:47:47) | INFO: Logger set to DEBUG
2024/05/05 (13:47:47) | DEBUG: Using locale C.UTF-8
